,status,price,bed,bath,acre_lot,full_address,street,city,state,zip_code,house_size,sold_date
561369,for_sale,2250000,6,4,,"58 W 127th St, New York, NY, 10027",58 W 127th St,New York,New York,10027,,
449435,for_sale,775000,4,3,0.92,"3 Townsend Ln, Brewster, NY, 10509",3 Townsend Ln,Brewster,New York,10509,3996,8/20/01
844640,for_sale,2175000,2,2,,"238 E 3rd St Apt 3A, Manhattan, NY, 10009",238 E 3rd St,Manhattan,New York,10009,1184,
544914,for_sale,875000,2,1,,"40 Clarkson Ave Apt 6M, New York City, NY, 11226",40 Clarkson Ave,New York City,New York,11226,1222,
819632,for_sale,269000,1,1,,"2035 E 7th St Apt 4G, Brooklyn, NY, 11223",2035 E 7th St,Brooklyn,New York,11223,750,1/19/05
735727,for_sale,480000,2,1,2.23,"240 Cozine Ave Unit 104H, Brooklyn, NY, 11207",240 Cozine Ave,Brooklyn,New York,11207,,1/7/14
921644,for_sale,965000,3,3,1.04,"720 Milton Rd Unit 4DS, Rye, NY, 10580",720 Milton Rd,Rye,New York,10580,2100,
555455,for_sale,1999000,1,2,,"305 2nd Ave Apt 522, New York City, NY, 10003",305 2nd Ave,New York City,New York,10003,1327,6/8/12
569124,for_sale,1995000,,2,,"145 W 86th St Apt 1C, New York, NY, 10024",145 W 86th St,New York,New York,10024,,
759807,for_sale,950000,6,3,0.06,"1829 Edenwald Ave, Bronx, NY, 10466",1829 Edenwald Ave,Bronx,New York,10466,3537,7/11/03
855205,for_sale,355000,2,2,,"33-45 92nd St Unit 2C, Queens, NY, 11372",33-45 92nd St,Queens,New York,11372,,
793361,for_sale,1199000,1,2,,"206 Powers St Apt 4B, Brooklyn, NY, 11211",206 Powers St,Brooklyn,New York,11211,942,
456835,for_sale,699000,5,3,0.51,"626 Canal Rd, Mount Sinai, NY, 11766",626 Canal Rd,Mount Sinai,New York,11766,2500,6/27/97
558405,for_sale,995000,2,1,,"365 W 20th St Apt 7C, New York, NY, 10011",365 W 20th St,New York,New York,10011,,9/27/04
757370,for_sale,1349000,1,1,,"120 Riverside Blvd Apt 4N, New York, NY, 10069",120 Riverside Blvd,New York,New York,10069,935,1/10/06
539922,for_sale,16000000,4,5,,"60 Collister St Apt 3A, New York City, NY, 10013",60 Collister St,New York City,New York,10013,5416,
734690,for_sale,2850000,2,2,,"502 Park Ave Apt 8G, New York, NY, 10022",502 Park Ave,New York,New York,10022,1572,2/26/08
875841,for_sale,865000,1,1,,"301 E 79th St Apt 5P, New York, NY, 10075",301 E 79th St,New York,New York,10075,654,12/22/08
528675,for_sale,2595000,3,3,0.48,"180 E 79th St Apt 10E, New York City, NY, 10075",180 E 79th St,New York City,New York,10075,,
803788,for_sale,3795000,2,3,,"300 E 74th St Ph F, New York, NY, 10021",300 E 74th St,New York,New York,10021,1800,
565068,for_sale,484000,,1,,"362 W 127th St Apt 2B, New York City, NY, 10027",362 W 127th St,New York City,New York,10027,405,8/1/17
538456,for_sale,474900,2,1,,"3777 Independence Ave Apt 7J, Bronx, NY, 10463",3777 Independence Ave,Bronx,New York,10463,1035,9/8/17
831218,for_sale,150000,1,1,,"2 E 55th St Units 907 & 13, New York City, NY, 10022",2 E 55th St,New York City,New York,10022,625,
504712,for_sale,10500000,6,6,,"171 W 57th St Unit 11B11C, New York, NY, 10019",171 W 57th St,New York,New York,10019,5350,
747681,for_sale,629900,3,3,0.06,"412 Saint Lawrence Ave, Bronx, NY, 10473",412 Saint Lawrence Ave,Bronx,New York,10473,1675,1/22/97
764854,for_sale,2249000,1,1,,"45 Christopher St Apt 12G, New York, NY, 10014",45 Christopher St,New York,New York,10014,,7/26/99
355103,for_sale,325000,3,2,0.19,"10 Aiken Ct, Plattsburgh, NY, 12903",10 Aiken Ct,Plattsburgh,New York,12903,1919,8/16/11
