,status,price,bed,bath,acre_lot,full_address,street,city,state,zip_code,house_size,sold_date
819666,for_sale,1168000.0,4.0,3.0,0.04,"1653 Bay Ridge Pkwy, Brooklyn, NY, 11204",1653 Bay Ridge Pkwy,Brooklyn,New York,11204.0,1584.0,2004-07-07
868400,for_sale,299888.0,,1.0,,"20 Continental Ave Apt 3D, Forest Hills, NY, 11375",20 Continental Ave Apt 3D,Forest Hills,New York,11375.0,,2019-01-28
781913,for_sale,1250000.0,3.0,3.0,0.05,"50-47 46th St, Woodside, NY, 11377",50-47 46th St,Woodside,New York,11377.0,2000.0,2020-02-25
785288,for_sale,640000.0,,1.0,,"210 E 15th St Apt 4K, New York City, NY, 10003",210 E 15th St Apt 4K,New York City,New York,10003.0,600.0,2016-08-16
504169,for_sale,479999.0,3.0,2.0,0.03,"192 Maple Pkwy, Staten Island, NY, 10303",192 Maple Pkwy,Staten Island,New York,10303.0,1210.0,2004-07-01
887742,for_sale,885000.0,,,0.06,"59-10 48th Ave, New York City, NY, 11377",59-10 48th Ave,New York City,New York,11377.0,1420.0,2006-06-19
476877,for_sale,315000.0,2.0,2.0,,"36 Hamilton Ave Apt 6D, Staten Island, NY, 10301",36 Hamilton Ave Apt 6D,Staten Island,New York,10301.0,1100.0,
768673,for_sale,1655555.0,15.0,9.0,0.2,"677 Grandview Ave, Ridgewood, NY, 11385",677 Grandview Ave,Ridgewood,New York,11385.0,,
814216,for_sale,849000.0,2.0,1.0,,"88 Canal St Unit 7C, Manhattan, NY, 10002",88 Canal St Unit 7C,Manhattan,New York,10002.0,700.0,
505660,for_sale,1080000.0,1.0,1.0,,"20 Pine St Apt 2414, New York City, NY, 10005",20 Pine St Apt 2414,New York City,New York,10005.0,991.0,
735367,for_sale,495000.0,,1.0,,"26 E 38th St Apt 1F, New York, NY, 10016",26 E 38th St Apt 1F,New York,New York,10016.0,,
887955,for_sale,2910000.0,2.0,3.0,,"101 Warren St Apt 1180, New York, NY, 10007",101 Warren St Apt 1180,New York,New York,10007.0,1473.0,2011-12-14
867422,for_sale,2650000.0,2.0,3.0,,"211 Madison Ave Unit 16B, New York, NY, 10016",211 Madison Ave Unit 16B,New York,New York,10016.0,2010.0,2016-08-02
843124,for_sale,675000.0,1.0,1.0,,"200 Pinehurst Ave Apt 5F, New York City, NY, 10033",200 Pinehurst Ave Apt 5F,New York City,New York,10033.0,850.0,2017-01-04
782918,for_sale,4190000.0,2.0,3.0,,"1295 Madison Ave Unit 3B, New York, NY, 10128",1295 Madison Ave Unit 3B,New York,New York,10128.0,1772.0,
838645,for_sale,5250000.0,4.0,4.0,,"1280 5th Ave Unit 8BC, New York City, NY, 10029",1280 5th Ave Unit 8BC,New York City,New York,10029.0,3100.0,
786778,for_sale,565000.0,1.0,1.0,,"345 Clinton Ave Apt 3A, Brooklyn, NY, 11238",345 Clinton Ave Apt 3A,Brooklyn,New York,11238.0,,2016-03-02
453313,for_sale,669990.0,5.0,4.0,0.74,"136 Rustic Rd, Centereach, NY, 11720",136 Rustic Rd,Centereach,New York,11720.0,2900.0,2005-04-05
860503,for_sale,695000.0,1.0,1.0,,"245 E 24th St Ph D, New York City, NY, 10010",245 E 24th St Ph D,New York City,New York,10010.0,,
902167,for_sale,375000.0,1.0,1.0,,"521 41st St Unit A6, New York, NY, 11232",521 41st St Unit A6,New York,New York,11232.0,500.0,2005-12-14
904440,for_sale,599000.0,3.0,3.0,0.04,"74 Redwood Loop, Staten Island, NY, 10309",74 Redwood Loop,Staten Island,New York,10309.0,1740.0,2013-03-19
769762,for_sale,999000.0,1.0,2.0,,"40 Broad St Apt 14D, New York City, NY, 10004",40 Broad St Apt 14D,New York City,New York,10004.0,831.0,2011-10-18
774013,for_sale,799000.0,1.0,2.0,,"New York City, NY, 10001",,New York City,New York,10001.0,,2016-11-30
497363,for_sale,225000.0,,1.0,0.34,"7101 Shore Rd Apt 1A, Brooklyn, NY, 11209",7101 Shore Rd Apt 1A,Brooklyn,New York,11209.0,400.0,
742045,for_sale,1650000.0,1.0,1.0,,"164 Bank St Apt 7B, Manhattan, NY, 10014",164 Bank St Apt 7B,Manhattan,New York,10014.0,,2014-07-14
867770,for_sale,2225000.0,2.0,2.0,,"250 E 21st St Unit 3B, New York, NY, 10010",250 E 21st St Unit 3B,New York,New York,10010.0,1043.0,
901312,for_sale,1325000.0,2.0,2.0,,"357 W 29th St Apt 1A, New York, NY, 10001",357 W 29th St Apt 1A,New York,New York,10001.0,,2011-02-24
741401,for_sale,5800000.0,4.0,4.0,,"196 E 75th St Unit 8EFGH, New York, NY, 10021",196 E 75th St Unit 8EFGH,New York,New York,10021.0,,2017-05-24
865749,for_sale,1995000.0,2.0,1.0,0.22,"70 Remsen St Apt 11B, New York City, NY, 11201",70 Remsen St Apt 11B,New York City,New York,11201.0,,2015-08-18
922113,for_sale,149999.0,,,,"120 Dehaven Dr Apt 430, Yonkers, NY, 10703",120 Dehaven Dr Apt 430,Yonkers,New York,10703.0,,
767591,for_sale,1100000.0,6.0,5.0,0.07,"43-62 157th St, Flushing, NY, 11355",43-62 157th St,Flushing,New York,11355.0,,2005-01-05
530234,for_sale,1250000.0,1.0,1.0,0.03,"18R Spring St Unit 3R, New York City, NY, 10012",18R Spring St Unit 3R,New York City,New York,10012.0,,
499451,for_sale,799999.0,3.0,2.0,0.06,"329 Sheldon Ave, Staten Island, NY, 10312",329 Sheldon Ave,Staten Island,New York,10312.0,1390.0,2004-06-18
735310,for_sale,1250000.0,,1.0,,"67 Park Ave Unit 1A, New York City, NY, 10016",67 Park Ave Unit 1A,New York City,New York,10016.0,,2017-04-18
845013,for_sale,389000.0,1.0,1.0,,"7179 Peri Ln Unit 27S, Brooklyn, NY, 11234",7179 Peri Ln Unit 27S,Brooklyn,New York,11234.0,600.0,2018-06-22
865411,for_sale,2210000.0,2.0,2.0,,"20 River Ter Apt 9L, New York City, NY, 10282",20 River Ter Apt 9L,New York City,New York,10282.0,1177.0,
834938,for_sale,330000.0,2.0,1.0,,"138-10 77 Ave Unit 2FL, Kew Garden Hills, NY, 11367",138-10 77 Ave Unit 2FL,Kew Garden Hills,New York,11367.0,,
783548,for_sale,1599000.0,12.0,6.0,0.06,"119 Freeman St, Brooklyn, NY, 11222",119 Freeman St,Brooklyn,New York,11222.0,4860.0,2010-02-26
847707,for_sale,849000.0,6.0,3.0,0.12,"709 Hall St, Mamaroneck, NY, 10543",709 Hall St,Mamaroneck,New York,10543.0,2508.0,2018-09-04
820806,for_sale,799000.0,1.0,1.0,0.3,"200 E 89th St Apt 12E, New York City, NY, 10128",200 E 89th St Apt 12E,New York City,New York,10128.0,562.0,2010-02-12
812496,for_sale,55000000.0,6.0,8.0,,"2 E 67th St Unit 5FULLFLOOR, New York, NY, 10065",2 E 67th St Unit 5FULLFLOOR,New York,New York,10065.0,,
763096,for_sale,595000.0,1.0,1.0,,"582 Marcy Ave Unit 3B, New York City, NY, 11211",582 Marcy Ave Unit 3B,New York City,New York,11211.0,709.0,
809317,for_sale,799999.0,5.0,3.0,0.05,"132-06 101st St, Ozone Park, NY, 11417",132-06 101st St,Ozone Park,New York,11417.0,2000.0,2008-05-08
844094,for_sale,139900.0,1.0,1.0,,"500 Tuckahoe Rd Apt 7B, Yonkers, NY, 10710",500 Tuckahoe Rd Apt 7B,Yonkers,New York,10710.0,750.0,
898717,for_sale,5300000.0,3.0,3.0,,"166 Duane St Apt 9B, New York, NY, 10013",166 Duane St Apt 9B,New York,New York,10013.0,2670.0,1998-08-14
802268,for_sale,299000.0,1.0,1.0,,"12399 Flatlands Ave Apt 2A, Brooklyn, NY, 11207",12399 Flatlands Ave Apt 2A,Brooklyn,New York,11207.0,643.0,
519132,for_sale,1450000.0,5.0,4.0,2.9,"21 W Clarkstown Rd, New City, NY, 10956",21 W Clarkstown Rd,New City,New York,10956.0,4346.0,1995-01-11
908512,for_sale,3800000.0,6.0,7.0,3.14,"28 Muchmore Rd, Harrison, NY, 10528",28 Muchmore Rd,Harrison,New York,10528.0,7141.0,1993-11-22
912004,for_sale,2500000.0,3.0,3.0,,"300 Riverside Dr Apt 14A, New York, NY, 10025",300 Riverside Dr Apt 14A,New York,New York,10025.0,,
825462,for_sale,485000.0,1.0,1.0,,"166 E 92nd St Apt 1B, New York, NY, 10128",166 E 92nd St Apt 1B,New York,New York,10128.0,,
507297,for_sale,525000.0,,1.0,,"305 E 24th St Apt 9K, New York, NY, 10010",305 E 24th St Apt 9K,New York,New York,10010.0,,2012-08-13
521525,for_sale,580000.0,2.0,2.0,,"102 Bradhurst Ave Apt 610, New York, NY, 10039",102 Bradhurst Ave Apt 610,New York,New York,10039.0,,2007-10-01
873328,for_sale,1100000.0,6.0,2.0,0.06,"31-17 105 St, East Elmhurst, NY, 11369",31-17 105 St,East Elmhurst,New York,11369.0,,
507333,for_sale,699000.0,3.0,2.0,0.06,"64 Victoria Rd, Staten Island, NY, 10312",64 Victoria Rd,Staten Island,New York,10312.0,1100.0,
448830,for_sale,499900.0,3.0,3.0,5.54,"40 Cedar Ln, Pawling, NY, 12564",40 Cedar Ln,Pawling,New York,12564.0,1700.0,
756227,for_sale,1295000.0,2.0,1.0,,"444 17th St Apt 3B, Brooklyn, NY, 11215",444 17th St Apt 3B,Brooklyn,New York,11215.0,,2017-03-13
538009,for_sale,110000.0,2.0,1.0,,"30 S Cole Ave Apt 3C, Spring Valley, NY, 10977",30 S Cole Ave Apt 3C,Spring Valley,New York,10977.0,800.0,
825769,for_sale,338888.0,2.0,1.0,,"140-33 34th Ave Unit 6F, Flushing, NY, 11354",140-33 34th Ave Unit 6F,Flushing,New York,11354.0,921.0,
537678,for_sale,425000.0,2.0,2.0,0.2,"16 Schreiber Ln, Tappan, NY, 10983",16 Schreiber Ln,Tappan,New York,10983.0,1200.0,2000-01-13
887813,for_sale,698000.0,1.0,1.0,,"2231 Adam Clayton Powell Jr Blvd Unit 620, New York City, NY, 10027",2231 Adam Clayton Powell Jr Blvd Unit 620,New York City,New York,10027.0,,
894260,for_sale,269000.0,1.0,1.0,,"32-45 90th St Unit 107, East Elmhurst, NY, 11369",32-45 90th St Unit 107,East Elmhurst,New York,11369.0,,2017-05-01
538013,for_sale,219000.0,1.0,1.0,,"101 Old Mamaroneck Rd Apt 1A2, White Plains, NY, 10605",101 Old Mamaroneck Rd Apt 1A2,White Plains,New York,10605.0,800.0,
834437,for_sale,789000.0,3.0,2.0,0.09,"108 N 2nd St, New Hyde Park, NY, 11040",108 N 2nd St,New Hyde Park,New York,11040.0,1360.0,2012-07-31
747388,for_sale,665000.0,2.0,2.0,,"627 Wilson Ave Apt 3, New York City, NY, 11207",627 Wilson Ave Apt 3,New York City,New York,11207.0,792.0,
792698,for_sale,1150000.0,1.0,1.0,0.12,"14 W 14th St Apt 3D, New York City, NY, 10011",14 W 14th St Apt 3D,New York City,New York,10011.0,700.0,2010-10-27
519474,for_sale,3975000.0,2.0,2.0,,"300 Central Park W Apt 12G2, New York, NY, 10024",300 Central Park W Apt 12G2,New York,New York,10024.0,,
513321,for_sale,1699000.0,2.0,2.0,,"16 W 16th St Apt 10NS, New York City, NY, 10011",16 W 16th St Apt 10NS,New York City,New York,10011.0,,2015-06-22
889742,for_sale,138000.0,1.0,1.0,,"2925 Matthews Ave Apt 6H, Bronx, NY, 10467",2925 Matthews Ave Apt 6H,Bronx,New York,10467.0,700.0,2011-09-02
751743,for_sale,740000.0,1.0,2.0,,"50 Sutton Pl S Apt 9K, New York, NY, 10022",50 Sutton Pl S Apt 9K,New York,New York,10022.0,,
820599,for_sale,2390000.0,4.0,3.0,0.09,"284 Bay 10th St, Brooklyn, NY, 11228",284 Bay 10th St,Brooklyn,New York,11228.0,2007.0,2018-12-07
499310,for_sale,1625000.0,,5.0,0.05,"339 76th St, Brooklyn, NY, 11209",339 76th St,Brooklyn,New York,11209.0,,2015-11-10
543356,for_sale,699000.0,,1.0,,"305 W 16th St Apt 5B, New York City, NY, 10011",305 W 16th St Apt 5B,New York City,New York,10011.0,438.0,2011-12-22
768263,for_sale,769000.0,1.0,1.0,,"61 W 62nd St Apt 11H, New York, NY, 10023",61 W 62nd St Apt 11H,New York,New York,10023.0,750.0,2021-07-14
346345,for_sale,319000.0,3.0,2.0,0.74,"79 Spring St, Cambridge, NY, 12816",79 Spring St,Cambridge,New York,12816.0,1582.0,
567886,for_sale,160000.0,2.0,1.0,,"642 Locust St Apt 2C, Mount Vernon, NY, 10552",642 Locust St Apt 2C,Mount Vernon,New York,10552.0,1050.0,
752760,for_sale,330000.0,1.0,1.0,,"244 E 90th St Apt 4B, New York City, NY, 10128",244 E 90th St Apt 4B,New York City,New York,10128.0,,2014-10-18
506560,for_sale,780000.0,3.0,2.0,,"1369 Bay Ridge Ave Apt 2B, Brooklyn, NY, 11219",1369 Bay Ridge Ave Apt 2B,Brooklyn,New York,11219.0,1070.0,2015-05-21
791842,for_sale,1400000.0,2.0,1.0,,"205 Third Ave Unit 12S, New York, NY, 10003",205 Third Ave Unit 12S,New York,New York,10003.0,,2016-11-14
806458,for_sale,990000.0,2.0,1.0,,"407 Central Park W Apt 4C, New York City, NY, 10025",407 Central Park W Apt 4C,New York City,New York,10025.0,,2016-12-28
568847,for_sale,23900000.0,24.0,19.0,,"27-29 W 69th St, New York, NY, 10023",27-29 W 69th St,New York,New York,10023.0,,
840192,for_sale,595000.0,,1.0,,"55 Wall St Apt 708, New York, NY, 10005",55 Wall St Apt 708,New York,New York,10005.0,659.0,2008-01-17
760132,for_sale,650000.0,2.0,1.0,1.85,"4-74 48th Ave Ph 2C, New York City, NY, 11109",4-74 48th Ave Ph 2C,New York City,New York,11109.0,952.0,
790629,for_sale,175000.0,,1.0,,"2440 Amsterdam Ave Apt 1H, New York, NY, 10033",2440 Amsterdam Ave Apt 1H,New York,New York,10033.0,,
911082,for_sale,825000.0,5.0,2.0,0.09,"123-11 Nellis St, Springfield Gardens, NY, 11413",123-11 Nellis St,Springfield Gardens,New York,11413.0,,2009-01-14
755525,for_sale,1199000.0,2.0,2.0,,"233 E 69th St Apt 6D, New York, NY, 10021",233 E 69th St Apt 6D,New York,New York,10021.0,1200.0,2011-09-02
486619,for_sale,699999.0,3.0,2.0,0.05,"3140 Arnow Pl, Bronx, NY, 10461",3140 Arnow Pl,Bronx,New York,10461.0,1906.0,1986-08-04
556874,for_sale,1545000.0,1.0,1.0,,"421 Hudson St Apt 315, New York, NY, 10014",421 Hudson St Apt 315,New York,New York,10014.0,803.0,2018-06-18
355761,for_sale,37500.0,,,0.51,"Seneca Dr, Plattsburgh, NY, 12901",Seneca Dr,Plattsburgh,New York,12901.0,,
513429,for_sale,2480000.0,1.0,2.0,,"900 Park Ave Apt 14C, New York, NY, 10075",900 Park Ave Apt 14C,New York,New York,10075.0,1110.0,2018-09-12
835426,for_sale,599000.0,4.0,3.0,0.05,"92-23 107th St, Richmond Hill, NY, 11418",92-23 107th St,Richmond Hill,New York,11418.0,,2004-10-13
880338,for_sale,257500.0,1.0,1.0,,"226-48 Kingsbury Ave Unit Upper, Bayside, NY, 11364",226-48 Kingsbury Ave Unit Upper,Bayside,New York,11364.0,,
